image,class,rating,vessel_ok,class_index
normal_0001_EDD.jpg,normal,1,9,1
normal_0002_EDD.jpg,normal,1,9,2
normal_0003_EDD.jpg,normal,1,9,3
normal_0004_EDD.jpg,normal,4,9,4
normal_0005_EDD.jpg,normal,1,9,5
normal_0006_EDD.jpg,normal,1,9,6
normal_0007_EDD.jpg,normal,1,9,7
normal_0008_EDD.jpg,normal,1,9,8
normal_0009_EDD.jpg,normal,1,9,9
normal_0010_EDD.jpg,normal,3,9,10
normal_0011_EDD.jpg,normal,1,9,11
normal_0012_EDD.jpg,normal,2,9,12
normal_0013_EDD.jpg,normal,1,9,13
normal_0014_EDD.jpg,normal,3,9,14
normal_0015_EDD.jpg,normal,1,9,15
normal_0016_EDD.jpg,normal,1,9,16
normal_0017_EDD.jpg,normal,1,9,17
normal_0018_EDD.jpg,normal,1,9,18
normal_0019_EDD.jpg,normal,1,9,19
normal_0020_EDD.jpg,normal,2,9,20
normal_0021_EDD.jpg,normal,2,9,21
normal_0022_EDD.jpg,normal,1,9,22
normal_0023_EDD.jpg,normal,3,9,23
normal_0024_EDD.jpg,normal,2,9,24
normal_0025_EDD.jpg,normal,3,0,25
normal_0026_EDD.jpg,normal,3,9,26
normal_0027_EDD.jpg,normal,1,9,27
normal_0028_EDD.jpg,normal,3,9,28
normal_0029_EDD.jpg,normal,1,9,29
normal_0030_EDD.jpg,normal,1,9,30
normal_0031_EDD.jpg,normal,2,9,31
normal_0032_EDD.jpg,normal,3,9,32
normal_0033_EDD.jpg,normal,3,9,33
normal_0034_EDD.jpg,normal,2,9,34
normal_0035_EDD.jpg,normal,1,9,35
normal_0036_EDD.jpg,normal,1,9,36
normal_0037_EDD.jpg,normal,3,9,37
normal_0038_EDD.jpg,normal,3,9,38
normal_0039_EDD.jpg,normal,1,9,39
normal_0040_EDD.jpg,normal,1,9,40
normal_0041_EDD.jpg,normal,2,9,41
normal_0042_EDD.jpg,normal,1,9,42
normal_0043_EDD.jpg,normal,1,0,43
normal_0044_EDD.jpg,normal,3,9,44
normal_0045_EDD.jpg,normal,3,0,45
