image,class_x,rating,vessel_ok,class_index,status,class_y,centre,radius,blob_score,blob_contrast,blob_brightness,blob_response,final_score,vessel_centre
normal_0001_EDD.jpg,normal,1,9,1,ok,normal,"[475.0, 205.0]",57.01751796098172,0.7981038630008697,0.1055207848548889,0.95254248380661,-0.1290166974067688,0.464573763701203,"[501.0, 221.0]"
normal_0002_EDD.jpg,normal,1,9,2,ok,normal,"[120.0, 191.0]",45.254833995939045,0.8068802237510682,0.0933312177658081,0.9831911325454712,-0.1265760660171508,0.6090626249000999,"[107.0, 179.0]"
normal_0003_EDD.jpg,normal,1,9,3,ok,normal,"[468.0, 216.0]",57.01751796098172,0.8117210149765014,0.1047307252883911,0.9725174903869628,-0.1311402320861816,0.4273750138164228,"[493.0, 237.0]"
normal_0004_EDD.jpg,normal,4,9,4,negative_score,normal,"[361.0, 281.0]",45.254833995939045,0.7470295965671538,0.0410305857658386,0.9763960242271424,-0.1126089692115783,-2.598637980194729,"[512.0, 220.0]"
normal_0005_EDD.jpg,normal,1,9,5,ok,normal,"[123.0, 188.0]",45.254833995939045,0.9545757412910462,0.2847442030906677,0.9137779474258424,-0.1509348750114441,0.7423058983988962,"[117.0, 198.0]"
normal_0006_EDD.jpg,normal,1,9,6,ok,normal,"[345.0, 202.0]",45.254833995939045,0.7824283182621001,0.0920711159706115,0.9510911107063292,-0.1229671239852905,0.6678079433520423,"[360.0, 201.0]"
normal_0007_EDD.jpg,normal,1,9,7,ok,normal,"[322.0, 198.0]",57.01751796098172,0.7901777863502502,0.0938690304756164,0.9573296308517456,-0.1308900713920593,0.5426526696820528,"[300.0, 184.0]"
normal_0008_EDD.jpg,normal,1,9,8,ok,normal,"[114.0, 184.0]",35.918785545899944,0.8373738288879394,0.1165119409561157,0.9905526638031006,-0.1373751163482666,0.559801700961275,"[101.0, 193.0]"
normal_0009_EDD.jpg,normal,1,9,9,ok,normal,"[112.0, 181.0]",35.918785545899944,0.7989298045635224,0.0814206600189209,0.990494668483734,-0.1208143830299377,0.3645268325718176,"[101.0, 201.0]"
normal_0010_EDD.jpg,normal,3,9,10,ok,normal,"[256.0, 240.0]",114.03503592196344,0.8571806550025939,0.1962349414825439,0.9173105359077454,-0.0941416919231414,0.5767992384280938,"[283.0, 200.0]"
normal_0011_EDD.jpg,normal,1,9,11,ok,normal,"[140.0, 186.0]",45.254833995939045,0.8923809587955475,0.1831188201904297,0.9723209738731384,-0.1431872844696045,0.5848334295129243,"[123.0, 178.0]"
normal_0012_EDD.jpg,normal,2,9,12,ok,normal,"[332.0, 204.0]",71.83757109179989,0.8381584703922271,0.1551316380500793,0.9361669421195984,-0.1385498642921447,0.8500738617609189,"[342.0, 208.0]"
normal_0013_EDD.jpg,normal,1,9,13,ok,normal,"[475.0, 197.0]",35.918785545899944,0.9703651905059816,0.2708573341369629,0.9553581476211548,-0.153785765171051,0.3590616019847431,"[498.0, 198.0]"
normal_0014_EDD.jpg,normal,3,9,14,ok,normal,"[184.0, 168.0]",90.50966799187808,0.8112399518489837,0.0983172059059143,0.9796553254127502,-0.1358200907707214,0.3565231161883125,"[128.0, 184.0]"
normal_0015_EDD.jpg,normal,1,9,15,ok,normal,"[313.0, 218.0]",45.254833995939045,0.8221842944622039,0.1547310948371887,0.9144782423973083,-0.136592149734497,0.5658611253296937,"[294.0, 213.0]"
normal_0016_EDD.jpg,normal,1,9,16,ok,normal,"[139.0, 194.0]",57.01751796098172,0.847087961435318,0.1580784916877746,0.9446712136268616,-0.1386981010437011,0.5261366482016645,"[118.0, 211.0]"
normal_0017_EDD.jpg,normal,1,9,17,ok,normal,"[136.0, 177.0]",35.918785545899944,0.8739383697509765,0.1542038321495056,0.9879382848739624,-0.1408886909484863,0.1284518335122147,"[122.0, 205.0]"
normal_0018_EDD.jpg,normal,1,9,18,ok,normal,"[472.0, 177.0]",35.918785545899944,0.8636228501796721,0.1483548283576965,0.9830288290977478,-0.1357392072677612,0.6887327976829338,"[483.0, 179.0]"
normal_0019_EDD.jpg,normal,1,9,19,ok,normal,"[506.0, 202.0]",45.254833995939045,0.8335843443870544,0.1322871446609497,0.963010549545288,-0.1359490752220153,0.6656103975151142,"[521.0, 204.0]"
normal_0020_EDD.jpg,normal,2,9,20,ok,normal,"[170.0, 192.0]",71.83757109179989,0.7970684587955474,0.1080324649810791,0.9480791091918944,-0.126903086900711,0.5330991965244009,"[137.0, 186.0]"
normal_0021_EDD.jpg,normal,2,9,21,ok,normal,"[304.0, 174.0]",71.83757109179989,0.8258476674556732,0.1229729056358337,0.9650081992149352,-0.1368451118469238,0.8412842461443847,"[295.0, 181.0]"
normal_0022_EDD.jpg,normal,1,9,22,ok,normal,"[498.0, 222.0]",45.254833995939045,0.8280534923076629,0.1327899098396301,0.9510035514831544,-0.1478054821491241,0.4116196755074147,"[513.0, 244.0]"
normal_0023_EDD.jpg,normal,3,9,23,ok,normal,"[182.0, 210.0]",90.50966799187808,0.8116007685661315,0.1260014176368713,0.9488484859466552,-0.1070270538330078,0.4599759481629545,"[140.0, 185.0]"
normal_0024_EDD.jpg,normal,2,9,24,ok,normal,"[314.0, 212.0]",71.83757109179989,0.7683420777320861,0.0830070376396179,0.94381445646286,-0.1233246028423309,0.7215941505811441,"[334.0, 212.0]"
normal_0025_EDD.jpg,normal,3,0,25,ok,normal,"[438.0, 200.0]",90.50966799187808,0.8086178541183472,0.117130160331726,0.9598009586334229,-0.0981351137161254,0.1712855871139926,"[493.0, 251.0]"
normal_0026_EDD.jpg,normal,3,9,26,ok,normal,"[196.0, 212.0]",114.03503592196344,0.8611251771450041,0.1633895635604858,0.9605250954627992,-0.1268402338027954,0.4389745424320842,"[138.0, 185.0]"
normal_0027_EDD.jpg,normal,1,9,27,ok,normal,"[488.0, 210.0]",45.254833995939045,0.8311423003673553,0.1238089203834533,0.9698469042778016,-0.1422027349472046,0.5647378663379963,"[506.0, 202.0]"
normal_0028_EDD.jpg,normal,3,9,28,ok,normal,"[204.0, 224.0]",143.67514218359975,0.8267220199108124,0.1290607452392578,0.9790219664573668,-0.0617294907569885,0.364793701958275,"[129.0, 172.0]"
