image,candidate_num,rating,index
normal_0004_EDD,1,4,1
normal_0005_EDD,1,4,2
normal_0006_EDD,1,4,3
normal_0006_EDD,2,4,4
normal_0008_EDD,1,4,5
normal_0008_EDD,2,4,6
normal_0009_EDD,1,4,7
normal_0009_EDD,2,4,8
normal_0009_EDD,3,3,9
normal_0010_EDD,1,1,10
normal_0010_EDD,2,4,11
normal_0010_EDD,3,3,12
normal_0011_EDD,1,4,13
normal_0013_EDD,1,4,14
normal_0013_EDD,2,4,15
normal_0013_EDD,3,4,16
normal_0017_EDD,1,4,17
normal_0018_EDD,1,4,18
normal_0022_EDD,1,4,19
normal_0022_EDD,2,4,20
normal_0023_EDD,1,4,21
normal_0023_EDD,2,1,22
normal_0025_EDD,1,4,23
normal_0025_EDD,2,4,24
normal_0025_EDD,3,1,25
normal_0026_EDD,1,1,26
normal_0026_EDD,2,4,27
normal_0026_EDD,3,4,28
normal_0027_EDD,1,4,29
normal_0027_EDD,2,4,30
normal_0028_EDD,1,4,31
normal_0028_EDD,2,4,32
normal_0028_EDD,3,4,33
normal_0028_EDD,4,2,34
normal_0028_EDD,5,4,35
normal_0028_EDD,6,2,36
normal_0028_EDD,7,4,37
normal_0029_EDD,1,4,38
normal_0029_EDD,2,4,39
normal_0030_EDD,1,3,40
normal_0032_EDD,1,4,41
normal_0032_EDD,2,4,42
normal_0032_EDD,3,4,43
normal_0032_EDD,4,4,44
normal_0032_EDD,5,4,45
normal_0033_EDD,1,4,46
normal_0033_EDD,2,4,47
normal_0033_EDD,3,1,48
normal_0033_EDD,4,4,49
normal_0033_EDD,5,4,50
normal_0033_EDD,6,4,51
normal_0035_EDD,1,4,52
normal_0035_EDD,2,4,53
normal_0036_EDD,1,4,54
normal_0036_EDD,2,4,55
normal_0036_EDD,3,4,56
normal_0036_EDD,4,4,57
normal_0038_EDD,1,4,58
normal_0039_EDD,1,4,59
normal_0039_EDD,2,4,60
normal_0043_EDD,1,4,61
normal_0044_EDD,1,4,62
normal_0044_EDD,2,3,63
normal_0045_EDD,1,1,64
normal_0046_EDD,1,4,65
normal_0048_EDD,1,4,66
normal_0049_EDD,1,4,67
normal_0049_EDD,2,4,68
normal_0051_EDD,1,4,69
normal_0051_EDD,2,4,70
normal_0051_EDD,3,4,71
normal_0051_EDD,4,4,72
normal_0051_EDD,5,4,73
normal_0053_EDD,1,4,74
normal_0054_EDD,1,4,75
normal_0054_EDD,2,4,76
normal_0054_EDD,3,4,77
normal_0054_EDD,4,4,78
normal_0054_EDD,5,1,79
normal_0054_EDD,6,4,80
normal_0054_EDD,7,4,81
normal_0055_EDD,1,4,82
normal_0055_EDD,2,2,83
normal_0056_EDD,1,4,84
normal_0056_EDD,2,3,85
normal_0059_EDD,1,4,86
normal_0059_EDD,2,2,87
normal_0060_EDD,1,4,88
normal_0060_EDD,2,2,89
normal_0060_EDD,3,2,90
normal_0061_EDD,1,4,91
normal_0062_EDD,1,4,92
normal_0062_EDD,2,1,93
normal_0062_EDD,3,4,94
normal_0062_EDD,4,4,95
normal_0063_EDD,1,4,96
normal_0064_EDD,1,4,97
normal_0065_EDD,1,4,98
normal_0066_EDD,1,4,99
normal_0067_EDD,1,4,100
normal_0067_EDD,2,4,101
normal_0068_EDD,1,4,102
normal_0068_EDD,2,2,103
normal_0070_EDD,1,4,104
normal_0070_EDD,2,4,105
normal_0070_EDD,3,4,106
normal_0070_EDD,4,4,107
normal_0071_EDD,1,4,108
normal_0071_EDD,2,4,109
normal_0073_EDD,1,4,110
normal_0073_EDD,2,4,111
normal_0074_EDD,1,4,112
normal_0074_EDD,2,1,113
normal_0074_EDD,3,4,114
normal_0074_EDD,4,4,115
normal_0074_EDD,5,2,116
normal_0074_EDD,6,2,117
normal_0076_EDD,1,4,118
normal_0079_EDD,1,4,119
normal_0081_EDD,1,4,120
normal_0082_EDD,1,4,121
normal_0085_EDD,1,4,122
normal_0085_EDD,2,4,123
normal_0086_EDD,1,4,124
normal_0087_EDD,1,4,125
normal_0087_EDD,2,4,126
normal_0087_EDD,3,4,127
normal_0088_EDD,1,4,128
normal_0088_EDD,2,4,129
normal_0088_EDD,3,3,130
normal_0089_EDD,1,2,131
normal_0090_EDD,1,4,132
normal_0090_EDD,2,3,133
normal_0091_EDD,1,4,134
normal_0095_EDD,1,4,135
normal_0096_EDD,1,4,136
normal_0097_EDD,1,4,137
normal_0099_EDD,1,4,138
normal_0100_EDD,1,4,139
normal_0101_EDD,1,4,140
normal_0102_EDD,1,4,141
normal_0102_EDD,2,4,142
normal_0102_EDD,3,4,143
normal_0102_EDD,4,4,144
normal_0103_EDD,1,4,145
normal_0105_EDD,1,4,146
normal_0106_EDD,1,4,147
normal_0106_EDD,2,3,148
normal_0107_EDD,1,4,149
normal_0108_EDD,1,4,150
normal_0111_EDD,1,4,151
normal_0114_EDD,1,4,152
normal_0114_EDD,2,1,153
