image,class,rating,class_index
normal_0001_EDD.jpg,normal,1,1
normal_0002_EDD.jpg,normal,1,2
normal_0003_EDD.jpg,normal,1,3
normal_0004_EDD.jpg,normal,4,4
normal_0005_EDD.jpg,normal,1,5
normal_0006_EDD.jpg,normal,1,6
normal_0007_EDD.jpg,normal,1,7
normal_0008_EDD.jpg,normal,1,8
normal_0009_EDD.jpg,normal,1,9
normal_0010_EDD.jpg,normal,3,10
normal_0011_EDD.jpg,normal,1,11
normal_0012_EDD.jpg,normal,1,12
normal_0013_EDD.jpg,normal,1,13
normal_0014_EDD.jpg,normal,3,14
normal_0015_EDD.jpg,normal,1,15
normal_0016_EDD.jpg,normal,1,16
normal_0017_EDD.jpg,normal,1,17
normal_0018_EDD.jpg,normal,1,18
normal_0019_EDD.jpg,normal,1,19
normal_0020_EDD.jpg,normal,2,20
normal_0021_EDD.jpg,normal,2,21
normal_0022_EDD.jpg,normal,1,22
normal_0023_EDD.jpg,normal,1,23
normal_0024_EDD.jpg,normal,2,24
normal_0025_EDD.jpg,normal,3,25
normal_0026_EDD.jpg,normal,3,26
normal_0027_EDD.jpg,normal,1,27
normal_0028_EDD.jpg,normal,4,28
normal_0029_EDD.jpg,normal,1,29
normal_0030_EDD.jpg,normal,1,30
normal_0031_EDD.jpg,normal,2,31
normal_0032_EDD.jpg,normal,3,32
normal_0033_EDD.jpg,normal,4,33
normal_0034_EDD.jpg,normal,3,34
normal_0035_EDD.jpg,normal,1,35
normal_0036_EDD.jpg,normal,1,36
normal_0037_EDD.jpg,normal,2,37
normal_0038_EDD.jpg,normal,3,38
normal_0039_EDD.jpg,normal,1,39
normal_0040_EDD.jpg,normal,1,40
normal_0041_EDD.jpg,normal,2,41
normal_0042_EDD.jpg,normal,1,42
normal_0043_EDD.jpg,normal,1,43
normal_0044_EDD.jpg,normal,3,44
normal_0045_EDD.jpg,normal,3,45
normal_0046_EDD.jpg,normal,3,46
normal_0047_EDD.jpg,normal,3,47
normal_0048_EDD.jpg,normal,2,48
normal_0049_EDD.jpg,normal,1,49
normal_0050_EDD.jpg,normal,3,50
normal_0051_EDD.jpg,normal,1,51
normal_0052_EDD.jpg,normal,1,52
normal_0053_EDD.jpg,normal,1,53
normal_0054_EDD.jpg,normal,4,54
normal_0055_EDD.jpg,normal,4,55
normal_0056_EDD.jpg,normal,3,56
normal_0057_EDD.jpg,normal,2,57
normal_0058_EDD.jpg,normal,2,58
normal_0059_EDD.jpg,normal,1,59
normal_0060_EDD.jpg,normal,1,60
normal_0061_EDD.jpg,normal,1,61
normal_0062_EDD.jpg,normal,3,62
normal_0063_EDD.jpg,normal,1,63
normal_0064_EDD.jpg,normal,1,64
normal_0065_EDD.jpg,normal,1,65
normal_0066_EDD.jpg,normal,1,66
