filename,class,num_candidates,candidates
normal/normal_0001_EDD.jpg,normal,0,[]
normal/normal_0002_EDD.jpg,normal,0,[]
normal/normal_0003_EDD.jpg,normal,0,[]
normal/normal_0004_EDD.jpg,normal,1,"[{'vessel_blob_score': -7.120340301270794, 'centre': [225.0, 272.0], 'radius': 35.918785545899944, 'blob_score': 0.7390765726566314, 'blob_contrast': 0.03220987319946289, 'blob_brightness': 0.9804289937019348, 'blob_response': -0.10283201932907104, 'vessel_centre': [512.0, 220.0]}]"
normal/normal_0005_EDD.jpg,normal,1,"[{'vessel_blob_score': -2.8678378685465096, 'centre': [247.0, 149.0], 'radius': 35.918785545899944, 'blob_score': 0.49926390945911403, 'blob_contrast': 0.03132838010787964, 'blob_brightness': 0.6654320359230042, 'blob_response': -0.010665521025657654, 'vessel_centre': [117.0, 198.0]}]"
normal/normal_0006_EDD.jpg,normal,2,"[{'vessel_blob_score': -3.5098310365625167, 'centre': [224.0, 289.0], 'radius': 35.918785545899944, 'blob_score': 0.6252746194601059, 'blob_contrast': 0.035278260707855225, 'blob_brightness': 0.8396366238594055, 'blob_response': -0.011253610253334045, 'vessel_centre': [360.0, 201.0]}, {'vessel_blob_score': -1.1655145173838015, 'centre': [262.0, 201.0], 'radius': 45.254833995939045, 'blob_score': 0.7288967072963713, 'blob_contrast': 0.0716826319694519, 'blob_brightness': 0.916622519493103, 'blob_response': -0.07789155840873718, 'vessel_centre': [360.0, 201.0]}]"
normal/normal_0007_EDD.jpg,normal,0,[]
normal/normal_0008_EDD.jpg,normal,2,"[{'vessel_blob_score': -2.323757404091038, 'centre': [229.0, 272.0], 'radius': 45.254833995939045, 'blob_score': 0.7199611961841583, 'blob_contrast': 0.05040907859802246, 'blob_brightness': 0.9394323825836182, 'blob_response': -0.05974724888801575, 'vessel_centre': [101.0, 193.0]}, {'vessel_blob_score': -1.4152835054973978, 'centre': [219.0, 264.0], 'radius': 57.01751796098172, 'blob_score': 0.7234248518943787, 'blob_contrast': 0.05765378475189209, 'blob_brightness': 0.9340846538543701, 'blob_response': -0.05955904722213745, 'vessel_centre': [101.0, 193.0]}]"
normal/normal_0009_EDD.jpg,normal,3,"[{'vessel_blob_score': -1.859324307624469, 'centre': [203.0, 213.0], 'radius': 35.918785545899944, 'blob_score': 0.7323434710502624, 'blob_contrast': 0.028471171855926514, 'blob_brightness': 0.9868613481521606, 'blob_response': -0.06534677743911743, 'vessel_centre': [101.0, 201.0]}, {'vessel_blob_score': -1.4934868371053502, 'centre': [223.0, 274.0], 'radius': 57.01751796098172, 'blob_score': 0.7687788903713226, 'blob_contrast': 0.06450945138931274, 'blob_brightness': 0.9774062037467957, 'blob_response': -0.10042548179626465, 'vessel_centre': [101.0, 201.0]}, {'vessel_blob_score': 0.06549959035589514, 'centre': [178.0, 236.0], 'radius': 90.50966799187809, 'blob_score': 0.7977239489555359, 'blob_contrast': 0.09698271751403809, 'blob_brightness': 0.9700055718421936, 'blob_response': -0.1086866557598114, 'vessel_centre': [101.0, 201.0]}]"
normal/normal_0010_EDD.jpg,normal,3,"[{'vessel_blob_score': 0.6782615580941562, 'centre': [297.0, 196.0], 'radius': 45.254833995939045, 'blob_score': 0.7964749991893768, 'blob_contrast': 0.089638352394104, 'blob_brightness': 0.9719565510749817, 'blob_response': -0.13233530521392822, 'vessel_centre': [283.0, 200.0]}, {'vessel_blob_score': -0.7998947789268693, 'centre': [227.0, 286.0], 'radius': 57.01751796098172, 'blob_score': 0.7519944667816162, 'blob_contrast': 0.0688663125038147, 'blob_brightness': 0.9507735371589661, 'blob_response': -0.08793339133262634, 'vessel_centre': [283.0, 200.0]}, {'vessel_blob_score': 0.6387616243219721, 'centre': [270.0, 230.0], 'radius': 90.50966799187809, 'blob_score': 0.797446471452713, 'blob_contrast': 0.12567251920700073, 'blob_brightness': 0.9331653714179993, 'blob_response': -0.09279096126556396, 'vessel_centre': [283.0, 200.0]}]"
normal/normal_0011_EDD.jpg,normal,1,"[{'vessel_blob_score': -2.6986088737087517, 'centre': [255.0, 193.0], 'radius': 35.918785545899944, 'blob_score': 0.648344075679779, 'blob_contrast': 0.03991669416427612, 'blob_brightness': 0.8588418960571289, 'blob_response': -0.03619027137756348, 'vessel_centre': [123.0, 178.0]}]"
normal/normal_0012_EDD.jpg,normal,0,[]
